Executing Genetic Algorithm with parameters: 
capacity = 170; maxIterations = 75; popSize = 50; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,315.16,1706,167,B;F;G;,1706,167,B;F;G;
2,1200.16,1692,166,C;F;G;,1706,167,B;F;G;
3,1140.72,1692,166,C;F;G;,1706,167,B;F;G;
4,1176.86,1688,165,B;E;G;,1706,167,B;F;G;
5,1294.04,1688,165,B;E;G;,1706,167,B;F;G;
6,1177.4,1688,165,B;E;G;,1706,167,B;F;G;
7,1151.1,1682,166,B;D;F;,1706,167,B;F;G;
8,1050.08,1682,166,B;D;F;,1706,167,B;F;G;
9,1061.44,1682,166,B;D;F;,1706,167,B;F;G;
10,1206.56,1682,166,B;D;F;,1706,167,B;F;G;
11,1177.68,1682,166,B;D;F;,1706,167,B;F;G;
12,1219.84,1682,166,B;D;F;,1706,167,B;F;G;
13,1338.5,1682,166,B;D;F;,1706,167,B;F;G;
14,1032.5,1682,166,B;D;F;,1706,167,B;F;G;
15,1226.4,1682,166,B;D;F;,1706,167,B;F;G;
16,1180.12,1682,166,B;D;F;,1706,167,B;F;G;
17,1375,1664,164,B;D;E;,1706,167,B;F;G;
18,1411.32,1664,164,B;D;E;,1706,167,B;F;G;
19,1166.64,1664,164,B;D;E;,1706,167,B;F;G;
20,1387.22,1664,164,B;D;E;,1706,167,B;F;G;
21,1339.62,1664,164,B;D;E;,1706,167,B;F;G;
22,1377.18,1635,162,B;E;F;,1706,167,B;F;G;
23,1393.02,1635,162,B;E;F;,1706,167,B;F;G;
24,1439.6,1635,162,B;E;F;,1706,167,B;F;G;
25,1460,1635,162,B;E;F;,1706,167,B;F;G;
26,1508.62,1688,165,B;E;G;,1706,167,B;F;G;
27,1494.04,1635,162,B;E;F;,1706,167,B;F;G;
28,1500.34,1635,162,B;E;F;,1706,167,B;F;G;
29,1488.18,1635,162,B;E;F;,1706,167,B;F;G;
30,1466.22,1635,162,B;E;F;,1706,167,B;F;G;
31,1542.12,1635,162,B;E;F;,1706,167,B;F;G;
32,1491.18,1635,162,B;E;F;,1706,167,B;F;G;
33,1542.34,1635,162,B;E;F;,1706,167,B;F;G;
34,1482.88,1635,162,B;E;F;,1706,167,B;F;G;
35,1583,1635,162,B;E;F;,1706,167,B;F;G;
36,1591.84,1635,162,B;E;F;,1706,167,B;F;G;
37,1635,1635,162,B;E;F;,1706,167,B;F;G;

rValue,rWeight,rContent
1706,167,B;F;G;

execTime:,4,ms
bestExecTime:,0,ms
bestFitnessIteration:,1
abortIteration:,37
Result is an approximation.
