Executing Genetic Algorithm with parameters: 
capacity = 170; maxIterations = 75; popSize = 50; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,163.28,1721,168,C;D;G;,1721,168,C;D;G;
2,659.62,1721,168,C;D;G;,1721,168,C;D;G;
3,1172.78,1721,168,C;D;G;,1721,168,C;D;G;
4,1232.7,1721,168,C;D;G;,1721,168,C;D;G;
5,927.2,1706,167,B;F;G;,1721,168,C;D;G;
6,963.88,1706,167,B;F;G;,1721,168,C;D;G;
7,985.58,1692,166,C;F;G;,1721,168,C;D;G;
8,980.16,1692,166,C;F;G;,1721,168,C;D;G;
9,1126.9,1735,169,B;D;G;,1735,169,B;D;G;
10,1074.72,1735,169,B;D;G;,1735,169,B;D;G;
11,1110.8,1735,169,B;D;G;,1735,169,B;D;G;
12,1160.04,1735,169,B;D;G;,1735,169,B;D;G;
13,1215.3,1735,169,B;D;G;,1735,169,B;D;G;
14,1242.52,1735,169,B;D;G;,1735,169,B;D;G;
15,1220.6,1735,169,B;D;G;,1735,169,B;D;G;
16,1279.92,1735,169,B;D;G;,1735,169,B;D;G;
17,1330,1735,169,B;D;G;,1735,169,B;D;G;
18,1204.5,1735,169,B;D;G;,1735,169,B;D;G;
19,1212.74,1735,169,B;D;G;,1735,169,B;D;G;
20,1215.08,1735,169,B;D;G;,1735,169,B;D;G;
21,1239.56,1735,169,B;D;G;,1735,169,B;D;G;
22,1337.28,1735,169,B;D;G;,1735,169,B;D;G;
23,1440.98,1735,169,B;D;G;,1735,169,B;D;G;
24,1420.36,1735,169,B;D;G;,1735,169,B;D;G;
25,1269.06,1735,169,B;D;G;,1735,169,B;D;G;
26,1319.38,1735,169,B;D;G;,1735,169,B;D;G;
27,1279.06,1735,169,B;D;G;,1735,169,B;D;G;
28,1341.28,1735,169,B;D;G;,1735,169,B;D;G;
29,1410.92,1735,169,B;D;G;,1735,169,B;D;G;
30,1569.8,1735,169,B;D;G;,1735,169,B;D;G;
31,1657.56,1735,169,B;D;G;,1735,169,B;D;G;
32,1530.98,1735,169,B;D;G;,1735,169,B;D;G;
33,1451.22,1735,169,B;D;G;,1735,169,B;D;G;
34,1405.12,1721,169,B;D;G;,1735,169,B;D;G;
35,1590.26,1721,168,C;D;G;,1735,169,B;D;G;
36,1652.6,1721,168,C;D;G;,1735,169,B;D;G;
37,1715.36,1721,168,C;D;G;,1735,169,B;D;G;
38,1721,1721,168,C;D;G;,1735,169,B;D;G;

rValue,rWeight,rContent
1735,169,B;D;G;

execTime:,5,ms
bestExecTime:,2,ms
bestFitnessIteration:,9
abortIteration:,38
Result is an approximation.
