Executing Genetic Algorithm with parameters: 
capacity = 64041; maxIterations = 75; popSize = 50; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,31772.2,129553,62448,A;G;I;K;M;N;O;P;Q;R;V;W;X;,129553,62448,A;G;I;K;M;N;O;P;Q;R;V;W;X;
2,76233.7,130527,62891,A;F;G;I;K;M;N;O;P;Q;R;V;W;X;,130527,62891,A;F;G;I;K;M;N;O;P;Q;R;V;W;X;
3,84163.7,131372,63597,B;D;E;G;I;J;K;M;O;R;T;X;,131372,63597,B;D;E;G;I;J;K;M;O;R;T;X;
4,92789.3,129361,63271,B;D;E;F;G;I;J;L;N;O;Q;V;W;,131372,63597,B;D;E;G;I;J;K;M;O;R;T;X;
5,100985,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
6,89028.5,129361,63271,B;D;E;F;G;I;J;L;N;O;Q;V;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
7,85425,130596,63678,B;D;E;F;G;H;J;N;O;P;Q;T;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
8,94177.3,126171,63341,B;D;E;H;I;L;M;S;U;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
9,96982.2,126171,63341,B;D;E;H;I;L;M;S;U;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
10,95919.6,126981,62745,B;C;F;H;J;M;P;S;T;W;X;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
11,102973,126981,62745,B;C;F;H;J;M;P;S;T;W;X;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
12,102484,128523,63955,B;E;H;I;J;M;O;R;S;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
13,98104.5,127274,62734,B;D;E;F;G;J;L;M;O;R;S;V;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
14,96846.8,127274,62734,B;D;E;F;G;J;L;M;O;R;S;V;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
15,97300,127274,62734,B;D;E;F;G;J;L;M;O;R;S;V;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
16,100532,127893,63765,A;C;F;H;I;J;M;N;O;Q;T;V;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
17,101797,127893,63765,A;C;F;H;I;J;M;N;O;Q;T;V;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
18,108987,127821,63953,A;D;E;H;I;L;M;O;R;S;V;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
19,96450.7,127821,63953,A;D;E;H;I;L;M;O;R;S;V;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
20,96441.6,127821,63953,A;D;E;H;I;L;M;O;R;S;V;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
21,98901.8,128404,63239,A;D;E;H;I;J;M;N;O;Q;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
22,98173.5,128799,63458,A;D;E;F;H;L;M;O;P;S;V;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
23,93915.8,128404,63239,A;D;E;H;I;J;M;N;O;Q;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
24,102910,126889,63183,A;C;D;E;F;G;H;I;J;M;O;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
25,96827,126889,63183,A;C;D;E;F;G;H;I;J;M;O;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
26,100506,128655,63895,A;C;D;E;F;G;H;I;J;M;O;T;V;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
27,105799,126889,63183,A;C;D;E;F;G;H;I;J;M;O;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
28,102683,129130,63778,B;D;E;F;G;H;I;J;L;M;O;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
29,108002,129130,63778,B;D;E;F;G;H;I;J;L;M;O;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
30,105810,128647,63890,B;C;D;E;F;G;H;I;J;O;V;W;,132549,63643,B;D;H;J;K;P;Q;R;V;W;X;
