Executing Genetic Algorithm with parameters: 
capacity = 7500; maxIterations = 75; popSize = 50; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,452.78,1443,7490,A;C;D;E;F;M;N;O;,1443,7490,A;C;D;E;F;M;N;O;
2,866.76,1443,7490,A;C;D;E;F;M;N;O;,1443,7490,A;C;D;E;F;M;N;O;
3,854.78,1424,7370,B;C;E;F;H;I;J;O;,1443,7490,A;C;D;E;F;M;N;O;
4,1066.8,1418,7380,B;C;D;E;G;J;K;O;,1443,7490,A;C;D;E;F;M;N;O;
5,977.32,1433,7410,B;C;E;F;H;I;K;O;,1443,7490,A;C;D;E;F;M;N;O;
6,1055.84,1443,7490,C;D;E;G;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
7,1014.54,1443,7490,C;D;E;G;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
8,1038.5,1443,7490,C;D;E;G;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
9,1124.68,1422,7390,B;C;E;F;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
10,1096.58,1422,7390,B;C;E;F;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
11,1057.96,1422,7390,B;C;E;F;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
12,1123.94,1433,7410,B;C;E;F;H;I;K;O;,1443,7490,A;C;D;E;F;M;N;O;
13,1104.98,1433,7460,C;D;E;F;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
14,1087.1,1433,7460,C;D;E;F;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
15,1097.84,1433,7460,C;D;E;F;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
16,920.96,1433,7460,C;D;E;F;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
17,1039.92,1431,7480,B;C;D;E;G;L;M;N;,1443,7490,A;C;D;E;F;M;N;O;
18,1064.16,1431,7480,B;C;D;E;G;L;M;N;,1443,7490,A;C;D;E;F;M;N;O;
19,1089.06,1431,7480,B;C;D;E;G;L;M;N;,1443,7490,A;C;D;E;F;M;N;O;
20,1122.34,1431,7480,B;C;D;E;G;L;M;N;,1443,7490,A;C;D;E;F;M;N;O;
21,1166.02,1431,7480,B;C;D;E;G;L;M;N;,1443,7490,A;C;D;E;F;M;N;O;
22,1131.74,1431,7480,B;C;D;E;G;L;M;N;,1443,7490,A;C;D;E;F;M;N;O;
23,1211.32,1433,7460,C;D;E;F;H;I;K;N;,1443,7490,A;C;D;E;F;M;N;O;
24,1228.08,1444,7470,B;D;E;G;H;I;K;O;,1444,7470,B;D;E;G;H;I;K;O;
25,1141.82,1443,7490,C;D;E;G;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
26,1194.16,1443,7490,C;D;E;G;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
27,1129.52,1420,7340,B;C;D;E;H;I;K;O;,1444,7470,B;D;E;G;H;I;K;O;
28,1181.9,1409,7320,B;C;D;E;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
29,1211.62,1443,7490,C;D;E;G;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
30,1153.04,1443,7490,C;D;E;G;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
31,1249.32,1415,7360,B;D;E;F;G;H;K;O;,1444,7470,B;D;E;G;H;I;K;O;
32,1174.42,1409,7320,B;C;D;E;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
33,1199.5,1443,7490,C;D;E;G;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
34,1184.02,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
35,1242.24,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
36,1225.34,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
37,1284.48,1433,7460,C;D;E;F;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
38,1342.32,1433,7460,C;D;E;F;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
39,1293.72,1433,7460,C;D;E;F;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
40,1371.76,1433,7460,C;D;E;F;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
41,1410.62,1433,7460,C;D;E;F;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
42,1381.04,1433,7460,C;D;E;F;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
43,1341.12,1433,7460,C;D;E;F;H;I;K;N;,1444,7470,B;D;E;G;H;I;K;O;
44,1295.1,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
45,1372.9,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
46,1406.62,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
47,1409,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
48,1343.5,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
49,1369.8,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;
50,1376.16,1414,7380,C;D;E;F;G;H;K;N;,1444,7470,B;D;E;G;H;I;K;O;

rValue,rWeight,rContent
1444,7470,B;D;E;G;H;I;K;O;

execTime:,7,ms
bestExecTime:,3,ms
bestFitnessIteration:,24
abortIteration:,50
Result is an approximation.
